protein1 protein2 combined_score
001.A01 001.A02 950
001.A01 001.A03 950
001.A01 001.A04 899
001.A01 001.A05 450
001.A02 001.A01 950
001.A02 001.A03 890
001.A02 001.A05 300
001.A03 001.A01 950
001.A03 001.A02 890
001.A03 001.A04 789
001.A04 001.A01 899
001.A04 001.A03 789
001.A05 001.A01 450
001.A05 001.A02 300
002.B01 002.B02 989
002.B01 002.B03 989
002.B01 002.B04 922
002.B02 002.B01 989
002.B02 002.B03 975
002.B02 002.B04 921
002.B03 002.B01 989
002.B03 002.B02 975
002.B03 002.B04 935
002.B04 002.B01 922
002.B04 002.B02 921
002.B04 002.B03 935
003.C01 003.C02 750
003.C01 003.C03 899
003.C02 003.C01 750
003.C03 003.C01 899
